Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano,Percentual,IDHM,IDHM_Renda,IDHM_Educacao,IDHM_Longevidade
Acre,2000,10-14 anos,250,15228,1.641712634620436,0.517,0.612,0.325,0.694
Acre,2000,15-19 anos,4534,15228,29.774100341476228,0.517,0.612,0.325,0.694
Acre,2000,20-24 anos,5065,15228,33.26109797741004,0.517,0.612,0.325,0.694
Acre,2000,25-29 anos,2887,15228,18.958497504596792,0.517,0.612,0.325,0.694
Acre,2000,30-34 anos,1448,15228,9.508799579721565,0.517,0.612,0.325,0.694
Acre,2000,35-39 anos,663,15228,4.353821907013397,0.517,0.612,0.325,0.694
Acre,2000,40-44 anos,222,15228,1.4578408195429473,0.517,0.612,0.325,0.694
Acre,2000,Idade ignorada,129,15228,0.847123719464145,0.517,0.612,0.325,0.694
Acre,2000,Outras idades,30,15228,0.1970055161544523,0.517,0.612,0.325,0.694
Acre,2010,10-14 anos,283,16495,1.7156714155804789,0.663,0.671,0.559,0.777
Acre,2010,15-19 anos,4139,16495,25.092452258260078,0.663,0.671,0.559,0.777
Acre,2010,20-24 anos,4636,16495,28.10548651106396,0.663,0.671,0.559,0.777
Acre,2010,25-29 anos,3717,16495,22.53410124280085,0.663,0.671,0.559,0.777
Acre,2010,30-34 anos,2325,16495,14.095180357684148,0.663,0.671,0.559,0.777
Acre,2010,35-39 anos,1043,16495,6.323128220672931,0.663,0.671,0.559,0.777
Acre,2010,40-44 anos,288,16495,1.7459836314034556,0.663,0.671,0.559,0.777
Acre,2010,Idade ignorada,11,16495,0.06668687481054866,0.663,0.671,0.559,0.777
Acre,2010,Outras idades,53,16495,0.3213094877235526,0.663,0.671,0.559,0.777
Acre,2017,10-14 anos,280,16358,1.7117006969067123,0.723,0.66,0.704,0.815
Acre,2017,15-19 anos,3867,16358,23.63980926763663,0.723,0.66,0.704,0.815
Acre,2017,20-24 anos,4338,16358,26.51913436850471,0.723,0.66,0.704,0.815
Acre,2017,25-29 anos,3366,16358,20.57708766352855,0.723,0.66,0.704,0.815
Acre,2017,30-34 anos,2624,16358,16.04108081672576,0.723,0.66,0.704,0.815
Acre,2017,35-39 anos,1460,16358,8.92529649101357,0.723,0.66,0.704,0.815
Acre,2017,40-44 anos,379,16358,2.3169091575987286,0.723,0.66,0.704,0.815
Acre,2017,Idade ignorada,12,16358,0.07335860129600195,0.723,0.66,0.704,0.815
Acre,2017,Outras idades,32,16358,0.19562293678933854,0.723,0.66,0.704,0.815
Acre,2018,10-14 anos,297,16543,1.7953212839267363,0.712,0.655,0.671,0.82
Acre,2018,15-19 anos,3832,16543,23.163875959620384,0.712,0.655,0.671,0.82
Acre,2018,20-24 anos,4300,16543,25.992867073686753,0.712,0.655,0.671,0.82
Acre,2018,25-29 anos,3498,16543,21.144895121803785,0.712,0.655,0.671,0.82
Acre,2018,30-34 anos,2602,16543,15.728707005984404,0.712,0.655,0.671,0.82
Acre,2018,35-39 anos,1581,16543,9.556912289185759,0.712,0.655,0.671,0.82
Acre,2018,40-44 anos,392,16543,2.3695823006709786,0.712,0.655,0.671,0.82
Acre,2018,Idade ignorada,4,16543,0.024179411231336517,0.712,0.655,0.671,0.82
Acre,2018,Outras idades,37,16543,0.22365955388986275,0.712,0.655,0.671,0.82
Acre,2019,10-14 anos,243,16280,1.4926289926289926,0.733,0.676,0.706,0.825
