Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano
Acre,2000,10-14 anos,250,15228
Acre,2000,15-19 anos,4534,15228
Acre,2000,20-24 anos,5065,15228
Acre,2000,25-29 anos,2887,15228
Acre,2000,30-34 anos,1448,15228
Acre,2000,35-39 anos,663,15228
Acre,2000,40-44 anos,222,15228
Acre,2000,Idade ignorada,129,15228
Acre,2000,Outras idades,30,15228
Acre,2010,10-14 anos,283,16495
Acre,2010,15-19 anos,4139,16495
Acre,2010,20-24 anos,4636,16495
Acre,2010,25-29 anos,3717,16495
Acre,2010,30-34 anos,2325,16495
Acre,2010,35-39 anos,1043,16495
Acre,2010,40-44 anos,288,16495
Acre,2010,Idade ignorada,11,16495
Acre,2010,Outras idades,53,16495
Acre,2016,10-14 anos,305,15773
Acre,2016,15-19 anos,3813,15773
Acre,2016,20-24 anos,4247,15773
Acre,2016,25-29 anos,3191,15773
Acre,2016,30-34 anos,2505,15773
Acre,2016,35-39 anos,1335,15773
Acre,2016,40-44 anos,348,15773
Acre,2016,Idade ignorada,4,15773
Acre,2016,Outras idades,25,15773
Acre,2017,10-14 anos,280,16358
Acre,2017,15-19 anos,3867,16358
Acre,2017,20-24 anos,4338,16358
Acre,2017,25-29 anos,3366,16358
Acre,2017,30-34 anos,2624,16358
Acre,2017,35-39 anos,1460,16358
Acre,2017,40-44 anos,379,16358
Acre,2017,Idade ignorada,12,16358
Acre,2017,Outras idades,32,16358
Acre,2018,10-14 anos,297,16543
Acre,2018,15-19 anos,3832,16543
Acre,2018,20-24 anos,4300,16543
Acre,2018,25-29 anos,3498,16543
Acre,2018,30-34 anos,2602,16543
Acre,2018,35-39 anos,1581,16543
Acre,2018,40-44 anos,392,16543
Acre,2018,Idade ignorada,4,16543
Acre,2018,Outras idades,37,16543
Acre,2019,10-14 anos,243,16280
Acre,2019,15-19 anos,3658,16280
Acre,2019,20-24 anos,4303,16280
Acre,2019,25-29 anos,3480,16280
Acre,2019,30-34 anos,2592,16280
Acre,2019,35-39 anos,1544,16280
Acre,2019,40-44 anos,417,16280
Acre,2019,Idade ignorada,1,16280
Acre,2019,Outras idades,42,16280
Acre,2020,10-14 anos,206,15142
Acre,2020,15-19 anos,3293,15142
Acre,2020,20-24 anos,4097,15142
Acre,2020,25-29 anos,3154,15142
Acre,2020,30-34 anos,2474,15142
Acre,2020,35-39 anos,1474,15142
Acre,2020,40-44 anos,410,15142
Acre,2020,Idade ignorada,2,15142
Acre,2020,Outras idades,32,15142
Acre,2021,10-14 anos,258,15699
Acre,2021,15-19 anos,3413,15699
Acre,2021,20-24 anos,4170,15699
Acre,2021,25-29 anos,3340,15699
Acre,2021,30-34 anos,2478,15699
Acre,2021,35-39 anos,1543,15699
Acre,2021,40-44 anos,441,15699
Acre,2021,Idade ignorada,32,15699
Acre,2021,Outras idades,24,15699
Alagoas,2000,10-14 anos,797,65763
Alagoas,2000,15-19 anos,16368,65763
Alagoas,2000,20-24 anos,21781,65763
Alagoas,2000,25-29 anos,13600,65763
Alagoas,2000,30-34 anos,7623,65763
Alagoas,2000,35-39 anos,3912,65763
Alagoas,2000,40-44 anos,1239,65763
Alagoas,2000,Idade ignorada,261,65763
Alagoas,2000,Outras idades,182,65763
Alagoas,2010,10-14 anos,836,54164
Alagoas,2010,15-19 anos,12393,54164
Alagoas,2010,20-24 anos,16730,54164
Alagoas,2010,25-29 anos,12413,54164
Alagoas,2010,30-34 anos,7369,54164
Alagoas,2010,35-39 anos,3401,54164
Alagoas,2010,40-44 anos,947,54164
Alagoas,2010,Idade ignorada,1,54164
Alagoas,2010,Outras idades,74,54164
Alagoas,2016,10-14 anos,739,48164
Alagoas,2016,15-19 anos,11657,48164
Alagoas,2016,20-24 anos,13672,48164
Alagoas,2016,25-29 anos,10182,48164
Alagoas,2016,30-34 anos,7520,48164
Alagoas,2016,35-39 anos,3496,48164
Alagoas,2016,40-44 anos,851,48164
Alagoas,2016,Outras idades,47,48164
Alagoas,2017,10-14 anos,724,50368
Alagoas,2017,15-19 anos,11625,50368
Alagoas,2017,20-24 anos,14340,50368
Alagoas,2017,25-29 anos,10886,50368
Alagoas,2017,30-34 anos,7938,50368
Alagoas,2017,35-39 anos,3816,50368
Alagoas,2017,40-44 anos,991,50368
Alagoas,2017,Outras idades,48,50368
Alagoas,2018,10-14 anos,662,52496
Alagoas,2018,15-19 anos,11278,52496
Alagoas,2018,20-24 anos,14696,52496
Alagoas,2018,25-29 anos,11516,52496
Alagoas,2018,30-34 anos,8775,52496
Alagoas,2018,35-39 anos,4465,52496
Alagoas,2018,40-44 anos,1032,52496
Alagoas,2018,Outras idades,72,52496
Alagoas,2019,10-14 anos,606,49803
Alagoas,2019,15-19 anos,10030,49803
Alagoas,2019,20-24 anos,14205,49803
Alagoas,2019,25-29 anos,10804,49803
Alagoas,2019,30-34 anos,8458,49803
Alagoas,2019,35-39 anos,4563,49803
Alagoas,2019,40-44 anos,1066,49803
Alagoas,2019,Outras idades,71,49803
Alagoas,2020,10-14 anos,546,48341
Alagoas,2020,15-19 anos,9309,48341
Alagoas,2020,20-24 anos,13658,48341
Alagoas,2020,25-29 anos,11147,48341
Alagoas,2020,30-34 anos,8146,48341
Alagoas,2020,35-39 anos,4345,48341
Alagoas,2020,40-44 anos,1133,48341
Alagoas,2020,Outras idades,57,48341
Alagoas,2021,10-14 anos,547,48808
Alagoas,2021,15-19 anos,8997,48808
Alagoas,2021,20-24 anos,13810,48808
Alagoas,2021,25-29 anos,11523,48808
Alagoas,2021,30-34 anos,8095,48808
Alagoas,2021,35-39 anos,4607,48808
Alagoas,2021,40-44 anos,1158,48808
Alagoas,2021,Outras idades,71,48808
Amapá,2000,10-14 anos,196,14238
Amapá,2000,15-19 anos,3784,14238
Amapá,2000,20-24 anos,4715,14238
Amapá,2000,25-29 anos,3094,14238
Amapá,2000,30-34 anos,1511,14238
Amapá,2000,35-39 anos,702,14238
Amapá,2000,40-44 anos,173,14238
Amapá,2000,Idade ignorada,43,14238
Amapá,2000,Outras idades,20,14238
Amapá,2010,10-14 anos,235,15008
Amapá,2010,15-19 anos,3604,15008
Amapá,2010,20-24 anos,4425,15008
Amapá,2010,25-29 anos,3480,15008
Amapá,2010,30-34 anos,2020,15008
Amapá,2010,35-39 anos,965,15008
Amapá,2010,40-44 anos,251,15008
Amapá,2010,Outras idades,28,15008
Amapá,2016,10-14 anos,211,15521
Amapá,2016,15-19 anos,3623,15521
Amapá,2016,20-24 anos,4324,15521
Amapá,2016,25-29 anos,3353,15521
Amapá,2016,30-34 anos,2426,15521
Amapá,2016,35-39 anos,1256,15521
Amapá,2016,40-44 anos,308,15521
Amapá,2016,Idade ignorada,2,15521
Amapá,2016,Outras idades,18,15521
Amapá,2017,10-14 anos,215,15399
Amapá,2017,15-19 anos,3372,15399
Amapá,2017,20-24 anos,4130,15399
Amapá,2017,25-29 anos,3391,15399
Amapá,2017,30-34 anos,2524,15399
Amapá,2017,35-39 anos,1354,15399
Amapá,2017,40-44 anos,385,15399
Amapá,2017,Idade ignorada,2,15399
Amapá,2017,Outras idades,26,15399
Amapá,2018,10-14 anos,195,15864
Amapá,2018,15-19 anos,3446,15864
Amapá,2018,20-24 anos,4387,15864
Amapá,2018,25-29 anos,3423,15864
Amapá,2018,30-34 anos,2575,15864
Amapá,2018,35-39 anos,1455,15864
Amapá,2018,40-44 anos,347,15864
Amapá,2018,Idade ignorada,1,15864
Amapá,2018,Outras idades,35,15864
Amapá,2019,10-14 anos,173,15356
Amapá,2019,15-19 anos,3086,15356
Amapá,2019,20-24 anos,4245,15356
Amapá,2019,25-29 anos,3401,15356
Amapá,2019,30-34 anos,2597,15356
Amapá,2019,35-39 anos,1429,15356
Amapá,2019,40-44 anos,404,15356
Amapá,2019,Idade ignorada,1,15356
Amapá,2019,Outras idades,20,15356
Amapá,2020,10-14 anos,188,14633
Amapá,2020,15-19 anos,2866,14633
Amapá,2020,20-24 anos,4033,14633
Amapá,2020,25-29 anos,3191,14633
Amapá,2020,30-34 anos,2447,14633
Amapá,2020,35-39 anos,1437,14633
Amapá,2020,40-44 anos,442,14633
Amapá,2020,Idade ignorada,7,14633
Amapá,2020,Outras idades,22,14633
Amapá,2021,10-14 anos,181,14993
Amapá,2021,15-19 anos,2909,14993
Amapá,2021,20-24 anos,4049,14993
Amapá,2021,25-29 anos,3282,14993
Amapá,2021,30-34 anos,2522,14993
Amapá,2021,35-39 anos,1546,14993
Amapá,2021,40-44 anos,465,14993
Amapá,2021,Idade ignorada,5,14993
Amapá,2021,Outras idades,34,14993
Amazonas,2000,10-14 anos,938,67646
Amazonas,2000,15-19 anos,18698,67646
Amazonas,2000,20-24 anos,22859,67646
Amazonas,2000,25-29 anos,13780,67646
Amazonas,2000,30-34 anos,6639,67646
Amazonas,2000,35-39 anos,2998,67646
Amazonas,2000,40-44 anos,893,67646
Amazonas,2000,Idade ignorada,732,67646
Amazonas,2000,Outras idades,109,67646
Amazonas,2010,10-14 anos,1222,74188
Amazonas,2010,15-19 anos,17960,74188
Amazonas,2010,20-24 anos,22018,74188
Amazonas,2010,25-29 anos,16990,74188
Amazonas,2010,30-34 anos,10152,74188
Amazonas,2010,35-39 anos,4579,74188
Amazonas,2010,40-44 anos,1139,74188
Amazonas,2010,Outras idades,128,74188
Amazonas,2016,10-14 anos,1302,76703
Amazonas,2016,15-19 anos,18134,76703
Amazonas,2016,20-24 anos,21793,76703
Amazonas,2016,25-29 anos,16001,76703
Amazonas,2016,30-34 anos,11827,76703
Amazonas,2016,35-39 anos,5945,76703
Amazonas,2016,40-44 anos,1549,76703
Amazonas,2016,Idade ignorada,6,76703
Amazonas,2016,Outras idades,146,76703
Amazonas,2017,10-14 anos,1251,78066
Amazonas,2017,15-19 anos,18323,78066
Amazonas,2017,20-24 anos,21916,78066
Amazonas,2017,25-29 anos,16265,78066
Amazonas,2017,30-34 anos,11923,78066
Amazonas,2017,35-39 anos,6586,78066
Amazonas,2017,40-44 anos,1653,78066
Amazonas,2017,Idade ignorada,3,78066
Amazonas,2017,Outras idades,146,78066
Amazonas,2018,10-14 anos,1259,78087
Amazonas,2018,15-19 anos,17931,78087
Amazonas,2018,20-24 anos,22041,78087
Amazonas,2018,25-29 anos,15963,78087
Amazonas,2018,30-34 anos,12265,78087
Amazonas,2018,35-39 anos,6724,78087
Amazonas,2018,40-44 anos,1753,78087
Amazonas,2018,Idade ignorada,10,78087
Amazonas,2018,Outras idades,141,78087
Amazonas,2019,10-14 anos,1248,77622
Amazonas,2019,15-19 anos,17311,77622
Amazonas,2019,20-24 anos,21798,77622
Amazonas,2019,25-29 anos,16577,77622
Amazonas,2019,30-34 anos,11868,77622
Amazonas,2019,35-39 anos,6925,77622
Amazonas,2019,40-44 anos,1747,77622
Amazonas,2019,Idade ignorada,8,77622
Amazonas,2019,Outras idades,140,77622
Amazonas,2020,10-14 anos,1075,75635
Amazonas,2020,15-19 anos,16332,75635
Amazonas,2020,20-24 anos,21111,75635
Amazonas,2020,25-29 anos,16678,75635
Amazonas,2020,30-34 anos,11593,75635
Amazonas,2020,35-39 anos,6845,75635
Amazonas,2020,40-44 anos,1843,75635
Amazonas,2020,Idade ignorada,10,75635
Amazonas,2020,Outras idades,148,75635
Amazonas,2021,10-14 anos,1188,78454
Amazonas,2021,15-19 anos,16570,78454
Amazonas,2021,20-24 anos,22032,78454
Amazonas,2021,25-29 anos,17668,78454
Amazonas,2021,30-34 anos,11856,78454
Amazonas,2021,35-39 anos,6909,78454
Amazonas,2021,40-44 anos,2074,78454
Amazonas,2021,Idade ignorada,4,78454
Amazonas,2021,Outras idades,153,78454
Bahia,2000,10-14 anos,2500,239530
Bahia,2000,15-19 anos,60639,239530
Bahia,2000,20-24 anos,76980,239530
Bahia,2000,25-29 anos,47847,239530
Bahia,2000,30-34 anos,27727,239530
Bahia,2000,35-39 anos,13672,239530
Bahia,2000,40-44 anos,4386,239530
Bahia,2000,Idade ignorada,5242,239530
Bahia,2000,Outras idades,537,239530
Bahia,2010,10-14 anos,2486,212201
Bahia,2010,15-19 anos,42862,212201
Bahia,2010,20-24 anos,59603,212201
Bahia,2010,25-29 anos,52781,212201
Bahia,2010,30-34 anos,34494,212201
Bahia,2010,35-39 anos,15387,212201
Bahia,2010,40-44 anos,4182,212201
Bahia,2010,Idade ignorada,16,212201
Bahia,2010,Outras idades,390,212201
Bahia,2016,10-14 anos,2192,199830
Bahia,2016,15-19 anos,37663,199830
Bahia,2016,20-24 anos,50151,199830
Bahia,2016,25-29 anos,45588,199830
Bahia,2016,30-34 anos,38541,199830
Bahia,2016,35-39 anos,20406,199830
Bahia,2016,40-44 anos,4912,199830
Bahia,2016,Idade ignorada,4,199830
Bahia,2016,Outras idades,373,199830
Bahia,2017,10-14 anos,2155,204096
Bahia,2017,15-19 anos,36712,204096
Bahia,2017,20-24 anos,50682,204096
Bahia,2017,25-29 anos,46209,204096
Bahia,2017,30-34 anos,40320,204096
Bahia,2017,35-39 anos,22271,204096
Bahia,2017,40-44 anos,5363,204096
Bahia,2017,Outras idades,384,204096
Bahia,2018,10-14 anos,2014,205332
Bahia,2018,15-19 anos,34723,205332
Bahia,2018,20-24 anos,49562,205332
Bahia,2018,25-29 anos,46328,205332
Bahia,2018,30-34 anos,41857,205332
